keys,zh_TW,zh_CN,en
SPEAKER_CEN,小岑,小岑,Cen
DLG_CEN_FIRST_MEET_TEXT,新來的？地面上掉下來的吧——看你那身還算乾淨就知道。……站遠點，這是我的地盤。,新来的？地面上掉下来的吧——看你那身还算干净就知道。……站远点，这是我的地盘。,"New here? Fell from the surface, I assume—tells by how clean your clothes still are. ...Stand back, this is my turf."
DLG_CEN_FIRST_MEET_CHOICE0,我不是來搶地盤的。,我不是来抢地盘的。,I'm not here to take your turf.
DLG_CEN_FIRST_MEET_CHOICE1,你一個人住這？,你一个人住这？,Do you live here alone?
DLG_CEN_FIRST_MEET_CHOICE2,（你感覺口袋被碰了一下）手放規矩點。,（你感觉口袋被碰了一下）手放规矩点。,(You feel a nudge at your pocket) Keep your hands to yourself.
DLG_CEN_ASK_ABOUT_LIVING_TEXT,關你屁事。……有人罩著，行了吧。,关你屁事。……有人罩着，行了吧。,"None of your business. ...Someone's got my back, okay?"
DLG_CEN_PICKPOCKET_CAUGHT_TEXT,（手一縮，臉不紅）切，反應挺快。你那點破爛我還看不上。手快一點才不會餓死——你懂個屁。,（手一缩，脸不红）切，反应挺快。你那点破烂我还看不上。手快一点才不会饿死——你懂个屁。,"(Retracts hand, face unblushing) Tsk, quick reflexes. I don't even care for your junk. You gotta be fast to not starve—what do you know."
DLG_CEN_INTRO_TEXT,叫我小岑。別到處亂傳。……我這條嗓子，是有人幫我弄成『聽起來像活人』的，檢查機器才放我過。所以別給我惹事，我輸不起。,叫我小岑。别到处乱传。……我这条嗓子，是有人帮我弄成『听起来像活人』的，检查机器才放我过。所以别给我惹事，我输不起。,"Call me Cen. Don't spread it around. ...My voice was modded by someone to 'sound like a living human' so the scanners would let me pass. So don't cause trouble for me, I can't afford to lose."
DLG_CEN_END_WARM_TEXT,行了，沒事別來煩我。……真撿到吃的，分我一口，我不介意。,行了，没事别来烦我。……真捡到吃的，分我一口，我不介意。,"Fine, don't bother me for no reason. ...If you actually salvage some food, share a bite, I wouldn't mind."
DLG_CEN_RETALK_TEXT,又是你。……沒偷你東西，真的。有事說事，別老盯著我看。,又是你。……没偷你东西，真的。有事说事，别老盯着我看。,"You again. ...I didn't steal anything from you, seriously. Say what you want, stop staring at me."
DLG_CEN_RETALK_CHOICE0,來看看你。,来看看你。,Just came to see you.
DLG_CEN_RETALK_CHOICE1,（離開）,（离开）,(Leave)
DLG_CEN_LEAVE_TEXT,（他哼了一聲，轉頭擺弄手裡的小零件，不再搭理你。）,（他哼了一声，转头摆弄手里的小零件，不再搭理你。）,"(He snorts, turns around to fiddle with the small parts in his hand, ignoring you.)"
SPEAKER_LU_QICHEN,鹿其琛,鹿其琛,Lu Qichen
DLG_LU_QICHEN_LU_DAZE_HOOK_TEXT,你身上有股味道。不是雨，也不是這條街的——是上面的。你是從上面下來的吧？我隨口說說。不得不下來的人，各有各的理由。……我記得那條街最左邊，那座地鐵站已經停運很久了，不過，很多無路可走的人都會去那裡碰碰運氣。,你身上有股味道。不是雨，也不是这条街的——是上面的。你是从上面下来的吧？我随口说说。不得不下来的人，各有各的理由。……我记得那条街最左边，这座地铁站已经停运很久了，不过，很多无路可走的人都会去那里碰碰运气。,"You have a scent on you. Not of rain, nor of this street—it's from above. You came down from above, didn't you? Just speaking casually. People who have no choice but to come down each have their reasons. ...I remember at the far left of that street, that subway station has been out of service for a long time, but many people with nowhere else to go would head there to try their luck."
DLG_LU_QICHEN_FIRST_MEET_TEXT,"（一個簡約考究的中年男子坐在沉重的木長桌後。他穿著一件款式老舊但裁剪精細的毛呢外套，一柄黑檀木手杖靠在桌邊。）
新面孔。很少有清理工會走到我這來。誰跟你提起過我？","（一个简约考究的中年男子坐在沉重的木长桌后。他穿着一件款式老旧但裁剪精细的毛呢外套，一柄黑檀木手杖靠在桌边。）
新面孔。很少有清理工会走到我这来。谁跟你提起过我？","(A refined middle-aged man sits behind a heavy wooden long table. He wears a woolen coat that is old-fashioned but finely tailored, with an ebony cane resting by the table.)
A new face. Few cleaners come this way to me. Who mentioned me to you?"
DLG_LU_QICHEN_FIRST_MEET_CHOICE0,聽說這裡有個收舊電子玩意的『鹿三爺』。,听说这里有个收旧电子玩意的『鹿三爷』。,I heard there is a 'Master Lu' here who buys old electronic gadgets.
DLG_LU_QICHEN_FIRST_MEET_CHOICE1,我只是隨便逛逛。,我只是随便逛逛。,I'm just looking around.
DLG_LU_QICHEN_FIRST_MEET_REPLY_TEXT,"三爺……（他扯了扯嘴角，露出一點疲憊的自嘲）
街上那些人隨便喊的，不用當真。我叫鹿其琛。
我只收在外面找不到的舊東西。紙本、磁帶、舊晶片……被系統當成垃圾抹掉的那些。","三爷……（他扯了扯嘴角，露出一点疲惫的自嘲）
街上那些人随便喊的，不用当真。我叫鹿其琛。
我只收在外面找不到的旧东西。纸本、磁带、旧芯片……被系统当成垃圾抹掉的那些。","Third Master... (He twitches the corner of his mouth, showing a hint of weary self-deprecation)
Just some casual names people on the street call me, don't take it seriously. My name is Lu Qichen.
I only buy old things you can't find outside. Paper books, magnetic tapes, old chips... those wiped out as garbage by the system."
DLG_LU_QICHEN_FIRST_MEET_BRUSH_OFF_TEXT,"隨便逛逛能走到這來，看來你的直覺很靈敏，清理工。
我是鹿其琛。進了這扇門，就別只當自己是個來清垃圾的。我只收被系統當成垃圾抹掉的『舊回憶』。","随便逛逛能走到这来，看来你的直觉很灵敏，清理工。
我是鹿其琛。进了这扇门，就别只当自己是个来清垃圾的。我只收被系统当成垃圾抹掉的『旧回忆』。","Wandering in and ending up here, it seems your intuition is quite sharp, Gleaner.
I am Lu Qichen. Once you enter this door, don't just think of yourself as someone here to clean trash. I only collect the 'old memories' wiped out by the system as garbage."
DLG_LU_QICHEN_HUB_TEXT,說吧，今天帶了什麼？張開手，讓我看看。還是只是想在這暖和一下？,说吧，今天带了什么？张开手，让我看看。还是只是想在这暖和一下？,"Speak, what did you bring today? Open your hand, let me see. Or do you just want to warm up here?"
DLG_LU_QICHEN_HUB_CHOICE0,出示在公寓找到的老舊探測模組,出示在公寓找到的老旧探测模组,Show the old detection module found in the apartment
DLG_LU_QICHEN_HUB_CHOICE1,給他看我的收藏,给他看我的收藏,Show him my collection
DLG_LU_QICHEN_HUB_CHOICE2,關於這個房間的陳設……,关于这个房间的陈设……,About this room's furnishings...
DLG_LU_QICHEN_HUB_CHOICE3,離開,离开,Leave
DLG_LU_QICHEN_APPRAISE_TEXT,"（他接過模組，原本平淡的眼神突然亮了起來。他用指腹撫過外殼的刮痕，對著燈光端詳接點）
這是……早期 AI 清理熱潮前的『感應式探測模組』！這東西起碼有十五年歷史了。
那時候系統還沒現在這麼封閉，舊架構的數位殘留是可以在空氣中感知到的。這東西就是用來抓那些『殘響』的。","（他接过模组，原本平淡的眼神突然亮了起来。他用指腹抚过外壳的刮痕，对着灯光端详接点）
这是……早期 AI 清理热潮前的『感应式探测模组』！这东西起码有十五年历史了。
那时候系统还没现在这么封闭，旧架构的数字残留是可以在空气中感知到的。这东西就是用来抓那些『残响』的。","(He takes the module, his originally flat eyes suddenly lighting up. He runs his fingertip over the scratches on the casing, examining the contacts against the light)
This is... an 'induction detection module' from before the early AI cleanup boom! This thing is at least fifteen years old.
Back then, the system wasn't as closed as it is now. Digital remnants of the old architecture could be sensed in the air. This device is used to capture those 'echoes'."
DLG_LU_QICHEN_APPRAISE_CHOICE0,殘響？那是什麼？,残响？那是什么？,Echoes? What are those?
DLG_LU_QICHEN_APPRAISE_CHOICE1,這東西能裝在我的工作手套上嗎？,这东西能装在我的工作手套上吗？,Can this thing be installed on my work gloves?
DLG_LU_QICHEN_APPRAISE_EXPLAIN_TEXT,"被抹除的記憶。AI 被重置時、資料庫被格式化時，總有一些沒清乾淨的數位殘渣，會附在硬體或電線的磁場裡。
如果裝備了探測手套，你就能感知到它們。只要在殘響附近站一會兒，手套的迴路就能幫你把記憶碎片採集起來。","被抹除的记忆。AI 被重置时、数据库被格式化时，总有一些没清干净的数字残渣，会附在硬件或电线的磁场里。
如果装备了探测手套，你就能感知到它们。只要在残响附近站一会儿，手套的回路就能帮你把记忆碎片采集起来。","Erased memories. When an AI is reset or a database is formatted, there are always some digital residues left unclean, attaching to the magnetic fields of hardware or wires.
If you equip the detection gloves, you'll be able to sense them. Just stand near an echo for a moment, and the glove's circuitry will help you collect the memory fragments."
DLG_LU_QICHEN_APPRAISE_GLOVES_TEXT,"你的手套食指改過接點？拿來，我能幫你把這模組嵌進去。
（他轉身從抽屜拿出幾樣精細工具，在燈光下專注地拆開模組，將細如髮絲的導線接入手套內側。他的動作極快且熟練）
好了。現在它是一雙『拾遺手套』了。","你的手套食指改过接点？拿来，我能帮你把这模组嵌进去。
（他转身从抽屉拿出几样精细工具，在灯光下专注地拆开模组，将细如发丝的导线接入手套内侧。他的动作极快且熟练）
好了。现在它是一双『拾遗手套』了。","Your glove's index finger has modified contacts? Bring it here, I can help you embed this module into it.
(He turns around, takes several fine tools from a drawer, focuses on dismantling the module under the light, and connects wires as thin as hair to the inner side of the glove. His movements are extremely swift and skilled)
There. Now it's a pair of 'Gleaner Gloves'."
DLG_LU_QICHEN_APPRAISE_INSTRUCTIONS_TEXT,"裝備它。在外面走動時，如果附近有被抹除的記憶，手套會亮起微光，你還會聽到電磁雜訊的干擾聲。
在雜訊最強的點上『靜止站立一秒』，手套就能收錄那段殘響。
如果你集滿了整條殘響，可以拿來賣給我。或者……","装备它。在外面走动时，如果附近有被抹除的记忆，手套会亮起微光，你还会听到电磁杂讯的干扰声。
在杂讯最强的点上『静止站立一秒』，手套就能收录那段残响。
如果你集满了整条残响，可以拿来卖给我。或者……","Equip it. When walking outside, if there are erased memories nearby, the gloves will glow faintly, and you'll hear electromagnetic static interference.
Stand completely still for one second at the point of strongest static, and the gloves will record that echo.
If you gather a complete echo, you can bring it to sell to me. Or..."
DLG_LU_QICHEN_APPRAISE_INSTRUCTIONS_CHOICE0,或者什麼？,或者什么？,Or what?
DLG_LU_QICHEN_APPRAISE_INSTRUCTIONS_CHOICE1,我知道了，成交。,我知道了，成交。,I see. Deal.
DLG_LU_QICHEN_APPRAISE_RETURN_HINT_TEXT,"或者……把它們『還』給原主。有些東西不是用錢可以衡量的。不過，這條街現在已經沒有原主可以還了。等以後地鐵通了，邊看、邊想、也許你會懂。
總之，先去幫我把附近街區的記憶找回來吧。","或者……把它们『还』给原主。有些东西不是用钱可以衡量的。不过，这条街现在已经没有原主可以还了。等以后地铁通了，边看、边想、也许你会懂。
总之，先去帮我把附近街区的记忆找回来吧。","Or... ""return"" them to their original owners. Some things cannot be measured by money. However, there are no original owners left on this street to return them to now. Maybe you'll understand when the subway opens in the future.
Anyway, go help me find the memories in the nearby blocks first."
