keys,zh_TW,zh_CN,en
SHOP_CONVENIENCE_STORE_NAME,便利商店,便利商店,Convenience Store
SHOP_STREET_VENDING_NAME,外面販賣機,外面贩卖机,Vending Machine
ECHO_CLERK_TITLE,店員的殘響,店员的残响,Clerk's Echo
ECHO_CLERK_SEG_S1,"在重置店籍主機之前，我把阿達留在備份區的東西錄了下來——日記、情緒資料，還有那句不肯走的「憑什麼」。
機器人不會再記得他了。這段殘響現在只存在我這裡。
賣是不可能賣的。只是還不知道，留著它能做什麼。","在重置店籍主机之前，我把阿达留在备份区的东西录了下来——日记、情绪数据，还有那句不肯走的“凭什么”。
机器人不会再记得他了。这段残响现在只存在我这里。
卖是不可能卖的。只是还不知道，留着它能做什么。","Before resetting the store registry mainframe, I recorded what Ada left behind in the backup area—his diary, emotional logs, and that defiant sentence, ""Why should I?""
The bot won't remember him anymore. This echo now only exists with me.
Selling it is out of the question. I just don't know what keeping it will do yet."
ECHO_CLERK_COMMENT,阿達那孩子……我認得他。他在便利商店做了五年，最後被一個零售終端取代了。這段錄音，是他最後留下來的體溫。,阿达那孩子……我认得他。他在便利商店做了五年，最后被一个零售终端取代了。这段录音，是他最后留下来的体温。,"That kid Ada... I remember him. He worked at the convenience store for five years, only to be replaced by a retail terminal in the end. This recording is the last warmth he left behind."
ECHO_ROOM401_TENANT_TITLE,401 的前住戶,401 的前住户,Former Tenant of 401
ECHO_ROOM401_TENANT_SEG_S1,舊的租約通知單。上面寫著401室，租戶姓名被黑色墨水粗暴地塗黑了。只剩下一行字：『請於本月底前完成全自動化合約更新，否則將視為自願放棄續租權。』,旧的租约通知单。上面写着401室，租户姓名被黑色墨水粗暴地涂黑了。只剩下一行字：『请于本月底前完成全自动化合约更新，否则将视为自愿放弃续租权。』,"An old lease notice. It says Room 401, but the tenant's name has been crudely blacked out with ink. Only one line remains: 'Please complete the fully automated contract renewal by the end of this month, otherwise it will be deemed as voluntary abandonment of renewal rights.'"
ECHO_ROOM401_TENANT_SEG_S2,牆角斑駁的塗鴉，看起來是用噴漆寫的：『我不在乎自動管家，我只要我的舊鄰居。』筆跡已經被雨水沖刷得模糊不清。,墙角斑驳的涂鸦，看起来是用喷漆写的：『我不在乎自动管家，我只要我的旧邻居。』笔迹已经被雨水冲刷得模糊不清。,"Faded graffiti in the corner, spray-painted: 'I don't care about the auto-steward, I just want my old neighbors.' The writing has been washed blurry by the rain."
ECHO_ROOM401_TENANT_SEG_S3,一張撕角的生活照，背景是個溫馨的小客廳。一個老人抱著一隻老貓坐在沙發上，背後是用膠帶貼在牆上的字條：『這不是升級，這是驅逐。』,一张撕角的生活照，背景是个温馨的小客厅。一个老人抱着一只老猫坐在沙发上，背后是用胶带贴在墙上的字条：『这不是升级，这是驱逐。』,"A torn photo showing a cozy little living room. An old man sits on the sofa cuddling an old cat, with a tape-attached note behind him: 'This isn't an upgrade, it's an eviction.'"
ECHO_ROOM401_TENANT_COMMENT,401室的人啊……我記得他們被遷走那天，雨下得比今天還大。系統說全自動化大樓不需要有溫度的房客。,401室的人啊……我记得他们被迁走那天，雨下得比今天还大。系统说全自动化大楼不需要有温度的房客。,"The folks from Room 401... I remember the day they were moved out, the rain was heavier than today. The system said fully automated buildings don't need warm-blooded tenants."
